"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Controllers\libController.js", "JavaScript", -1, 0, 0, -1
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Controllers\profController.js", "JavaScript", -1, 2, 0, 1
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Helper\File.js", "JavaScript", -2, 11, 1, 10
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Routers\profRouter.js", "JavaScript", -2, 0, -1, -3
"Total", "-", -6, 13, 0, 7
