"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Controllers\profController.js", "JavaScript", 0, 0, -1, -1
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Helper\File.js", "JavaScript", 2, -2, 0, 0
"c:\Users\BKZND\Desktop\дыплом\site\true_backend\Repositories\profRepository.js", "JavaScript", 0, 0, 2, 2
"Total", "-", 2, -2, 1, 1
